Year,Value
"Oct 2014",-1.260369891
"Nov 2014",29.11875787
"Dec 2014",2.200386167
"Jan 2015",0.345101754
"Feb 2015",-1.070469959
"Mar 2015",-6.971939837
"Apr 2015",-4.387221484
"May 2015",-5.965184955
"Jun 2015",2.644750971
"Jul 2015",3.10717107
"Aug 2015",-2.629929055
"Sep 2015",-14.74534196
"Oct 2015",-6.722987035
"Nov 2015",-16.66449998
"Dec 2015",-4.436962215
"Jan 2016",-1.493669606
"Feb 2016",5.6478672
"Mar 2016",1.85004713
"Apr 2016",7.837686601
"May 2016",6.71548048
"Jun 2016",4.092635509
"Jul 2016",2.567464033
"Aug 2016",3.780330758
"Sep 2016",14.74538287
"Oct 2016",14.90100155
"Nov 2016",-7.753056568
"Dec 2016",13.87018478
"Jan 2017",-2.346357242
"Feb 2017",3.782272403
"Mar 2017",13.35351602
"Apr 2017",15.79317387
"May 2017",4.031596066
"Jun 2017",-4.629014054
"Jul 2017",-16.03505802
"Aug 2017",-13.59576796
"Sep 2017",11.88395467
"Oct 2017",-24.97051293
"Nov 2017",17.77115437
"Dec 2017",0.744318768
"Jan 2018",-0.885033298
"Feb 2018",-5.370739136
"Mar 2018",-13.11303
"Apr 2018",-15.84075402
"May 2018",-6.552227251
"Jun 2018",-0.291805139
"Jul 2018",12.65642607
"Aug 2018",13.11413454
"Sep 2018",-21.86006804
"Oct 2018",12.25413136
"Nov 2018",-8.215170334
"Dec 2018",-10.15237088
"Jan 2019",6.747414022
"Feb 2019",0.488952156959837
"Mar 2019",2.74415493406384
"Apr 2019",-7.95458449276855
"May 2019",-0.951136743830383
"Jun 2019",-9.79595154865458
"Jul 2019",-1.21786435
"Aug 2019",-5.06014032743068
"Sep 2019",-5.24745209947003
"Oct 2019",2.48830139700107
"Nov 2019",-6.49823024424585
"Dec 2019",-3.4240461856923
"Jan 2020",-8.31525069983934
"Feb 2020",-12.70017246
"Mar 2020",-37.2231092371844
"Apr 2020",-94.50613022
"May 2020",-67.0307222132862